geo_sample_id	sample_type	sample_code	patient_id	use_for_project	sra_accession	srr_accession
GSM1228184	primary colorectal cancer	AMC_2-1	2	yes	SRX347887	SRR975551
GSM1228185	primary colorectal cancer	AMC_3-1	3	yes	SRX347888	SRR975552
GSM1228186	primary colorectal cancer	AMC_5-1	5	yes	SRX347889	SRR975553
GSM1228187	primary colorectal cancer	AMC_6-1	6	yes	SRX347890	SRR975554
GSM1228188	primary colorectal cancer	AMC_7-1	7	yes	SRX347891	SRR975555
GSM1228189	primary colorectal cancer	AMC_8-1	8	yes	SRX347892	SRR975556
GSM1228190	primary colorectal cancer	AMC_9-1	9	yes	SRX347893	SRR975557
GSM1228191	primary colorectal cancer	AMC_10-1	10	yes	SRX347894	SRR975558
GSM1228192	primary colorectal cancer	AMC_12-1	12	yes	SRX347895	SRR975559
GSM1228193	primary colorectal cancer	AMC_13-1	13	yes	SRX347896	SRR975560
GSM1228194	primary colorectal cancer	AMC_17-1	17	yes	SRX347897	SRR975561
GSM1228195	primary colorectal cancer	AMC_18-1	18	yes	SRX347898	SRR975562
GSM1228196	primary colorectal cancer	AMC_19-1	19	yes	SRX347899	SRR975563
GSM1228197	primary colorectal cancer	AMC_20-1	20	yes	SRX347900	SRR975564
GSM1228198	primary colorectal cancer	AMC_21-1	21	yes	SRX347901	SRR975565
GSM1228199	primary colorectal cancer	AMC_22-1	22	yes	SRX347902	SRR975566
GSM1228200	primary colorectal cancer	AMC_23-1	23	yes	SRX347903	SRR975567
GSM1228201	primary colorectal cancer	AMC_24-1	24	yes	SRX347904	SRR975568
GSM1228202	normal colon	AMC_2-2	2	yes	SRX347905	SRR975569
GSM1228203	normal colon	AMC_3-2	3	yes	SRX347906	SRR975570
GSM1228204	normal colon	AMC_5-2	5	yes	SRX347907	SRR975571
GSM1228205	normal colon	AMC_6-2	6	yes	SRX347908	SRR975572
GSM1228206	normal colon	AMC_7-2	7	yes	SRX347909	SRR975573
GSM1228207	normal colon	AMC_8-2	8	yes	SRX347910	SRR975574
GSM1228208	normal colon	AMC_9-2	9	yes	SRX347911	SRR975575
GSM1228209	normal colon	AMC_10-2	10	yes	SRX347912	SRR975576
GSM1228210	normal colon	AMC_12-2	12	yes	SRX347913	SRR975577
GSM1228211	normal colon	AMC_13-2	13	yes	SRX347914	SRR975578
GSM1228212	normal colon	AMC_17-2	17	yes	SRX347915	SRR975579
GSM1228213	normal colon	AMC_18-2	18	yes	SRX347916	SRR975580
GSM1228214	normal colon	AMC_19-2	19	yes	SRX347917	SRR975581
GSM1228215	normal colon	AMC_20-2	20	yes	SRX347918	SRR975582
GSM1228216	normal colon	AMC_21-2	21	yes	SRX347919	SRR975583
GSM1228217	normal colon	AMC_22-2	22	yes	SRX347920	SRR975584
GSM1228218	normal colon	AMC_23-2	23	yes	SRX347921	SRR975585
GSM1228219	normal colon	AMC_24-2	24	yes	SRX347922	SRR975586
