SRX347887	SRR975551
SRX347888	SRR975552
SRX347889	SRR975553
SRX347890	SRR975554
SRX347891	SRR975555
SRX347892	SRR975556
SRX347893	SRR975557
SRX347894	SRR975558
SRX347895	SRR975559
SRX347896	SRR975560
SRX347897	SRR975561
SRX347898	SRR975562
SRX347899	SRR975563
SRX347900	SRR975564
SRX347901	SRR975565
SRX347902	SRR975566
SRX347903	SRR975567
SRX347904	SRR975568
SRX347905	SRR975569
SRX347906	SRR975570
SRX347907	SRR975571
SRX347908	SRR975572
SRX347909	SRR975573
SRX347910	SRR975574
SRX347911	SRR975575
SRX347912	SRR975576
SRX347913	SRR975577
SRX347914	SRR975578
SRX347915	SRR975579
SRX347916	SRR975580
SRX347917	SRR975581
SRX347918	SRR975582
SRX347919	SRR975583
SRX347920	SRR975584
SRX347921	SRR975585
SRX347922	SRR975586
