"ensembl_gene_id","ensembl_gene_id_clean","gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation","plot_label"
"ENSG00000180921.8","ENSG00000180921","FAM83H",1525.28908171908,2.70744463140564,0.376603466479286,7.18911234863674,6.52138969903843e-13,6.20608050708992e-09,"up_in_tumor","FAM83H"
"ENSG00000178773.16","ENSG00000178773","CPNE7",551.399263492482,5.32364577877653,0.922406859071459,5.77147245428723,7.85818062780128e-09,3.73911879722354e-05,"up_in_tumor","CPNE7"
"ENSG00000042832.12","ENSG00000042832","TG",112.851152351571,3.62100058618139,0.640978212734671,5.64917888664692,1.61216026088716e-08,6.13684924909306e-05,"up_in_tumor","TG"
"ENSG00000170373.9","ENSG00000170373","CST1",390.507257452336,5.25943063981168,0.970662723128117,5.41839149118894,6.01376196096432e-08,0.00019076655233839,"up_in_tumor","CST1"
"ENSG00000105464.5","ENSG00000105464","GRIN2D",281.112468098795,5.19508314635576,0.985117657450859,5.27356616447097,1.3379798508717e-07,0.000363796721452014,"up_in_tumor","GRIN2D"
"ENSG00000167767.14","ENSG00000167767","KRT80",84.2685119557458,4.34365765834842,0.83069820754581,5.22892383646907,1.70499581713016e-07,0.000396521242059164,"up_in_tumor","KRT80"
"ENSG00000185666.16","ENSG00000185666","SYN3",174.595188185753,4.4684338628054,0.857447359942261,5.2113215009564,1.87500193271291e-07,0.000396521242059164,"up_in_tumor","SYN3"
"ENSG00000113739.11","ENSG00000113739","STC2",370.553017002512,4.6823988955405,0.918657808563363,5.09700004930349,3.45078238839393e-07,0.000591760298868062,"up_in_tumor","STC2"
"ENSG00000181085.16","ENSG00000181085","MAPK15",316.526561655649,3.6608976096807,0.720337688500533,5.08219640333034,3.73095338959531e-07,0.000591760298868062,"up_in_tumor","MAPK15"
"ENSG00000062038.16","ENSG00000062038","CDH3",383.263508427154,3.61952845958964,0.748296887475011,4.83702193631068,1.31798887599135e-06,0.00156783014229646,"up_in_tumor","CDH3"
"ENSG00000060718.23","ENSG00000060718","COL11A1",351.926053395804,3.39342539881813,0.721193657172627,4.70529013264169,2.53505171024098e-06,0.00265439421058704,"up_in_tumor","COL11A1"
"ENSG00000173898.17","ENSG00000173898","SPTBN2",569.483430041167,2.72868171408172,0.580081965161191,4.7039588850577,2.55164654382203e-06,0.00265439421058704,"up_in_tumor","SPTBN2"
"ENSG00000158296.14","ENSG00000158296","SLC13A3",231.341749819615,4.6992992463564,1.02350361113226,4.59138511603078,4.40313992721064e-06,0.00304470365313578,"up_in_tumor","SLC13A3"
"ENSG00000205609.14","ENSG00000205609","EIF3CL",292.376529985982,2.19035788254702,0.475454968667255,4.60686716280787,4.08780954731793e-06,0.00304470365313578,"up_in_tumor","EIF3CL"
"ENSG00000254166.5","ENSG00000254166","PCAT2",336.140966581342,3.08501055757817,0.669843980956942,4.60556584112454,4.11345806623268e-06,0.00304470365313578,"up_in_tumor","PCAT2"
"ENSG00000175832.14","ENSG00000175832","ETV4",712.131704965537,3.82580816177287,0.837086070086725,4.57038803832503,4.86821955717304e-06,0.00308856076105582,"up_in_tumor","ETV4"
"ENSG00000184489.14","ENSG00000184489","PTP4A3",607.771997390782,3.65772610278191,0.830281665729578,4.40540391743785,1.05586946062315e-05,0.00459560679807671,"up_in_tumor","PTP4A3"
"ENSG00000164398.16","ENSG00000164398","ACSL6",477.585751125843,3.52895973744799,0.806505790762736,4.37561611815651,1.2108995901171e-05,0.00490362806355292,"up_in_tumor","ACSL6"
"ENSG00000197408.11","ENSG00000197408","CYP2B6",1021.19740632886,3.44518984924014,0.786853620043613,4.37843807473261,1.19532894370311e-05,0.00490362806355292,"up_in_tumor","CYP2B6"
"ENSG00000104524.15","ENSG00000104524","PYCR3",23.0420254287966,4.76439579214623,1.09201814514427,4.3629273133706,1.28333591502098e-05,0.00498484336134576,"up_in_tumor","PYCR3"
"ENSG00000211950.2","ENSG00000211950","IGHV1-24",93.8108211285291,-10.0670252477725,1.31220572623204,-7.67183456566656,1.69553550235751e-14,3.22711272163704e-10,"down_in_tumor","IGHV1-24"
"ENSG00000133742.15","ENSG00000133742","CA1",14525.6571567543,-4.37374338206194,0.897920310751072,-4.87097054125381,1.11051398102697e-06,0.00146240466788706,"down_in_tumor","CA1"
"ENSG00000166473.20","ENSG00000166473","PKD1L2",54.4933821109413,-3.28151720491081,0.700317236447648,-4.68575815948252,2.78925467407875e-06,0.00265439421058704,"down_in_tumor","PKD1L2"
