"ensembl_gene_id_clean","gene_symbol","entrez_id","group"
"ENSG00000211950","IGHV1-24","28467","down_in_tumor"
"ENSG00000133742","CA1","759","down_in_tumor"
"ENSG00000166473","PKD1L2","114780","down_in_tumor"
"ENSG00000240498","CDKN2B-AS1","100048912","down_in_tumor"
"ENSG00000007306","CEACAM7","1087","down_in_tumor"
"ENSG00000091138","SLC26A3","1811","down_in_tumor"
"ENSG00000169876","MUC17","140453","down_in_tumor"
"ENSG00000184809","","114041","down_in_tumor"
"ENSG00000196660","SLC30A10","55532","down_in_tumor"
"ENSG00000150667","FSIP1","161835","down_in_tumor"
"ENSG00000269404","SPIB","6689","down_in_tumor"
"ENSG00000152785","BMP3","651","down_in_tumor"
"ENSG00000104267","CA2","760","down_in_tumor"
"ENSG00000205364","MT1M","4499","down_in_tumor"
"ENSG00000071203","MS4A12","54860","down_in_tumor"
"ENSG00000176595","KBTBD11","9920","down_in_tumor"
"ENSG00000112183","RBM24","221662","down_in_tumor"
"ENSG00000259823","LYPD8","646627","down_in_tumor"
"ENSG00000080493","SLC4A4","8671","down_in_tumor"
"ENSG00000197273","GUCA2A","2980","down_in_tumor"
"ENSG00000146039","SLC17A4","10050","down_in_tumor"
"ENSG00000167434","CA4","762","down_in_tumor"
"ENSG00000016490","CLCA1","1179","down_in_tumor"
"ENSG00000141338","ABCA8","10351","down_in_tumor"
"ENSG00000182938","OTOP3","347741","down_in_tumor"
"ENSG00000048462","TNFRSF17","608","down_in_tumor"
"ENSG00000109182","CWH43","80157","down_in_tumor"
"ENSG00000198074","AKR1B10","57016","down_in_tumor"
"ENSG00000169715","MT1E","4493","down_in_tumor"
"ENSG00000132465","JCHAIN","3512","down_in_tumor"
"ENSG00000155850","SLC26A2","1836","down_in_tumor"
"ENSG00000163815","CLEC3B","7123","down_in_tumor"
"ENSG00000168079","SCARA5","286133","down_in_tumor"
"ENSG00000173237","C11orf86","254439","down_in_tumor"
"ENSG00000198417","MT1F","4494","down_in_tumor"
"ENSG00000211649","IGLV7-46","28775","down_in_tumor"
"ENSG00000134028","ADAMDEC1","27299","down_in_tumor"
"ENSG00000164850","GPER1","2852","down_in_tumor"
"ENSG00000276566","IGKV1D-13","28902","down_in_tumor"
"ENSG00000047457","CP","1356","down_in_tumor"
"ENSG00000152292","SH2D6","284948","down_in_tumor"
"ENSG00000171916","LGALS9C","654346","down_in_tumor"
"ENSG00000167723","TRPV3","162514","down_in_tumor"
"ENSG00000254645","","105376567","down_in_tumor"
"ENSG00000147883","CDKN2B","1030","down_in_tumor"
"ENSG00000154165","GPR15","2838","down_in_tumor"
"ENSG00000141574","SECTM1","6398","down_in_tumor"
"ENSG00000086696","HSD17B2","3294","down_in_tumor"
"ENSG00000137975","CLCA2","9635","down_in_tumor"
"ENSG00000172410","INSL5","10022","down_in_tumor"
"ENSG00000240864","IGKV1-16","28938","down_in_tumor"
"ENSG00000211669","IGLV3-10","28803","down_in_tumor"
"ENSG00000131096","PYY","5697","down_in_tumor"
"ENSG00000224041","IGKV3D-15","28875","down_in_tumor"
"ENSG00000240382","IGKV1-17","28937","down_in_tumor"
"ENSG00000241244","IGKV1D-16","28901","down_in_tumor"
"ENSG00000162706","CADM3","57863","down_in_tumor"
"ENSG00000142959","BEST4","266675","down_in_tumor"
"ENSG00000163145","C1QTNF7","114905","down_in_tumor"
"ENSG00000211675","IGLC1","3537","down_in_tumor"
"ENSG00000172318","B3GALT1","8708","down_in_tumor"
"ENSG00000211592","IGKC","3514","down_in_tumor"
"ENSG00000124205","EDN3","1908","down_in_tumor"
"ENSG00000167916","KRT24","192666","down_in_tumor"
"ENSG00000114455","HHLA2","11148","down_in_tumor"
"ENSG00000239855","IGKV1-6","28943","down_in_tumor"
"ENSG00000125148","MT2A","4502","down_in_tumor"
"ENSG00000170419","VSTM2A","222008","down_in_tumor"
"ENSG00000174992","ZG16","653808","down_in_tumor"
"ENSG00000211625","IGKV3D-20","28874","down_in_tumor"
"ENSG00000211937","IGHV2-5","28457","down_in_tumor"
"ENSG00000243238","IGKV2-30","28919","down_in_tumor"
"ENSG00000205358","MT1H","4496","down_in_tumor"
"ENSG00000211895","IGHA1","3493","down_in_tumor"
"ENSG00000226777","FAM30A","9834","down_in_tumor"
"ENSG00000242076","IGKV1-33","28933","down_in_tumor"
"ENSG00000127129","EDN2","1907","down_in_tumor"
"ENSG00000177201","OR2T12","127064","down_in_tumor"
"ENSG00000211679","IGLC3","3539","down_in_tumor"
"ENSG00000241755","IGKV1-9","28941","down_in_tumor"
"ENSG00000254709","IGLL5","100423062","down_in_tumor"
"ENSG00000282122","IGHV7-4-1","57289","down_in_tumor"
"ENSG00000244437","IGKV3-15","28913","down_in_tumor"
"ENSG00000064205","CCN5","8839","down_in_tumor"
"ENSG00000242265","PEG10","23089","down_in_tumor"
"ENSG00000162896","PIGR","5284","down_in_tumor"
"ENSG00000163295","ALPI","248","down_in_tumor"
"ENSG00000253958","CLDN23","137075","down_in_tumor"
"ENSG00000125775","SDCBP2","27111","down_in_tumor"
"ENSG00000168447","SCNN1B","6338","down_in_tumor"
"ENSG00000211941","IGHV3-11","28450","down_in_tumor"
"ENSG00000183778","B3GALT5","10317","down_in_tumor"
"ENSG00000244116","IGKV2-28","28921","down_in_tumor"
"ENSG00000179520","SLC17A8","246213","down_in_tumor"
"ENSG00000166825","ANPEP","290","down_in_tumor"
"ENSG00000211637","IGLV4-69","28784","down_in_tumor"
"ENSG00000280411","IGHV1-69D","102723169","down_in_tumor"
