"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-1442490","Collagen degradation","8/74","55/9150",0.145454545454545,17.985257985258,11.4079489945221,1.11601648147253e-08,5.17831647403256e-06,4.22911508768539e-06,"COL11A1/MMP1/MMP11/MMP7/MMP3/COL1A1/COL4A1/COL10A1",8
"R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures","7/74","56/9150",0.125,15.4560810810811,9.7976640523613,2.86496764617064e-07,4.95324637863624e-05,4.04530103518386e-05,"COL11A1/MMP7/MMP3/COL1A1/COL4A1/COL27A1/COL10A1",7
"R-HSA-1474244","Extracellular matrix organization","13/74","282/9150",0.0460992907801418,5.70011500862565,7.23895083373981,3.33556801998105e-07,4.95324637863624e-05,4.04530103518386e-05,"COL11A1/MMP1/MMP11/MMP7/MMP3/ADAM12/COL1A1/COL4A1/COL27A1/BGN/MFAP2/SPP1/COL10A1",13
"R-HSA-1474228","Degradation of the extracellular matrix","9/74","119/9150",0.0756302521008403,9.35157846922553,8.27998510638885,4.27003998158296e-07,4.95324637863624e-05,4.04530103518386e-05,"COL11A1/MMP1/MMP11/MMP7/MMP3/COL1A1/COL4A1/SPP1/COL10A1",9
"R-HSA-1474290","Collagen formation","7/74","82/9150",0.0853658536585366,10.5553724456163,7.84791372437279,3.97356436625912e-06,0.000368746773188847,0.000301154351969113,"COL11A1/MMP7/MMP3/COL1A1/COL4A1/COL27A1/COL10A1",7
"R-HSA-8948216","Collagen chain trimerization","5/74","39/9150",0.128205128205128,15.8523908523908,8.39268802581647,1.40234727491842e-05,0.00108448189260358,0.000885693015737952,"COL11A1/COL1A1/COL4A1/COL27A1/COL10A1",5
"R-HSA-1592389","Activation of Matrix Metalloproteinases","4/74","25/9150",0.16,19.7837837837838,8.49164985896298,4.38447389863935e-05,0.0029062798413838,0.00237354977971454,"MMP1/MMP11/MMP7/MMP3",4
"R-HSA-1650814","Collagen biosynthesis and modifying enzymes","5/74","62/9150",0.0806451612903226,9.9716652136007,6.40015032529555,0.000136411767972501,0.00791188254240507,0.00646161006185532,"COL11A1/COL1A1/COL4A1/COL27A1/COL10A1",5
"R-HSA-9925563","Developmental Lineage of Pancreatic Ductal Cells","4/74","42/9150",0.0952380952380952,11.7760617760618,6.3201682041079,0.000349668256994176,0.0180273412494775,0.0147228739787021,"COL11A1/PDX1/COL1A1/COL27A1",4
"R-HSA-9006934","Signaling by Receptor Tyrosine Kinases","12/74","489/9150",0.0245398773006135,3.03432266622451,4.17489616320162,0.000501780363237059,0.0232826088541995,0.0190148348174043,"COL11A1/ADAM12/TRIB3/COL1A1/COL4A1/COL27A1/AREG/ALKAL1/WASF3/EREG/SPP1/MYC",12
"R-HSA-8939211","ESR-mediated signaling","7/74","189/9150",0.037037037037037,4.57957957957958,4.48993563617836,0.000803297764123106,0.0326225198061446,0.0266427112754357,"MMP7/MMP3/H2AC18/AREG/EREG/MYC/H2BC6",7
"R-HSA-9006931","Signaling by Nuclear Receptors","8/74","254/9150",0.031496062992126,3.89444562672909,4.22415938796807,0.000977138469852379,0.0326225198061446,0.0266427112754357,"MMP7/MMP3/H2AC18/AREG/SCD/EREG/MYC/H2BC6",8
"R-HSA-606279","Deposition of new CENPA-containing nucleosomes at the centromere","4/74","55/9150",0.0727272727272727,8.99262899262899,5.36815537092151,0.000984300166564706,0.0326225198061446,0.0266427112754357,"CENPS-CORT/H2AC18/HJURP/H2BC6",4
"R-HSA-774815","Nucleosome assembly","4/74","55/9150",0.0727272727272727,8.99262899262899,5.36815537092151,0.000984300166564706,0.0326225198061446,0.0266427112754357,"CENPS-CORT/H2AC18/HJURP/H2BC6",4
"R-HSA-8874081","MET activates PTK2 signaling","3/74","29/9150",0.103448275862069,12.7912395153774,5.74238970548689,0.00159537303215423,0.0426576293640805,0.0348383542900839,"COL11A1/COL1A1/COL27A1",3
"R-HSA-9616222","Transcriptional regulation of granulopoiesis","4/74","63/9150",0.0634920634920635,7.85070785070785,4.92664067508661,0.00163747296284154,0.0426576293640805,0.0348383542900839,"H2AC18/LEF1/MYC/H2BC6",4
"R-HSA-9820448","Developmental Cell Lineages of the Exocrine Pancreas","4/74","63/9150",0.0634920634920635,7.85070785070785,4.92664067508661,0.00163747296284154,0.0426576293640805,0.0348383542900839,"COL11A1/PDX1/COL1A1/COL27A1",4
"R-HSA-9734767","Developmental Cell Lineages","5/74","107/9150",0.0467289719626168,5.77797423591816,4.48884755933802,0.00169104285429914,0.0426576293640805,0.0348383542900839,"COL11A1/PDX1/COL1A1/COL27A1/AREG",5
"R-HSA-5689901","Metalloprotease DUBs","3/74","30/9150",0.1,12.3648648648649,5.62966969143097,0.00176240070440633,0.0426576293640805,0.0348383542900839,"BRCA1/H2AC18/H2AC15",3
"R-HSA-201722","Formation of the beta-catenin:TCF transactivating complex","4/74","65/9150",0.0615384615384615,7.60914760914761,4.82830942240677,0.00183869092086554,0.0426576293640805,0.0348383542900839,"H2AC18/LEF1/MYC/H2BC6",4
"R-HSA-9958863","SLC-mediated transport of amino acids","3/74","32/9150",0.09375,11.5920608108108,5.41952333702199,0.00212829874077195,0.0464272483635075,0.0379169904965125,"SLC1A7/SLC7A5/SLC6A20",3
"R-HSA-421270","Cell-cell junction organization","7/74","225/9150",0.0311111111111111,3.84684684684685,3.9039718776139,0.00220129194826975,0.0464272483635075,0.0379169904965125,"CDH3/MTBP/FOXQ1/CLDN1/H2AC18/MYC/H2BC6",7
