"ensembl_gene_id_clean","gene_symbol","entrez_id","group"
"ENSG00000000003","TSPAN6","7105","tested_background"
"ENSG00000000005","TNMD","64102","tested_background"
"ENSG00000000419","DPM1","8813","tested_background"
"ENSG00000000457","SCYL3","57147","tested_background"
"ENSG00000000460","FIRRM","55732","tested_background"
"ENSG00000000938","FGR","2268","tested_background"
"ENSG00000000971","CFH","3075","tested_background"
"ENSG00000001036","FUCA2","2519","tested_background"
"ENSG00000001084","GCLC","2729","tested_background"
"ENSG00000001167","NFYA","4800","tested_background"
"ENSG00000001460","STPG1","90529","tested_background"
"ENSG00000001461","NIPAL3","57185","tested_background"
"ENSG00000001497","LAS1L","81887","tested_background"
"ENSG00000001561","ENPP4","22875","tested_background"
"ENSG00000001617","SEMA3F","6405","tested_background"
"ENSG00000001626","CFTR","1080","tested_background"
"ENSG00000001629","ANKIB1","54467","tested_background"
"ENSG00000001630","CYP51A1","1595","tested_background"
"ENSG00000001631","KRIT1","889","tested_background"
"ENSG00000002016","RAD52","5893","tested_background"
"ENSG00000002330","BAD","572","tested_background"
"ENSG00000002549","LAP3","51056","tested_background"
"ENSG00000002586","CD99","4267","tested_background"
"ENSG00000002587","HS3ST1","9957","tested_background"
"ENSG00000002726","AOC1","26","tested_background"
"ENSG00000002822","MAD1L1","8379","tested_background"
"ENSG00000002834","LASP1","3927","tested_background"
"ENSG00000002919","SNX11","29916","tested_background"
"ENSG00000002933","TMEM176A","55365","tested_background"
"ENSG00000003056","M6PR","4074","tested_background"
"ENSG00000003096","KLHL13","90293","tested_background"
"ENSG00000003137","CYP26B1","56603","tested_background"
"ENSG00000003147","ICA1","3382","tested_background"
"ENSG00000003249","DBNDD1","79007","tested_background"
"ENSG00000003393","ALS2","57679","tested_background"
"ENSG00000003400","CASP10","843","tested_background"
"ENSG00000003402","CFLAR","8837","tested_background"
"ENSG00000003436","TFPI","7035","tested_background"
"ENSG00000003509","NDUFAF7","55471","tested_background"
"ENSG00000003756","RBM5","10181","tested_background"
"ENSG00000003987","MTMR7","9108","tested_background"
"ENSG00000003989","SLC7A2","6542","tested_background"
"ENSG00000004059","ARF5","381","tested_background"
