"ensembl_gene_id_clean","gene_symbol","entrez_id","group"
"ENSG00000180921","FAM83H","286077","up_in_tumor"
"ENSG00000178773","CPNE7","27132","up_in_tumor"
"ENSG00000042832","TG","7038","up_in_tumor"
"ENSG00000170373","CST1","1469","up_in_tumor"
"ENSG00000105464","GRIN2D","2906","up_in_tumor"
"ENSG00000167767","KRT80","144501","up_in_tumor"
"ENSG00000185666","SYN3","8224","up_in_tumor"
"ENSG00000113739","STC2","8614","up_in_tumor"
"ENSG00000181085","MAPK15","225689","up_in_tumor"
"ENSG00000062038","CDH3","1001","up_in_tumor"
"ENSG00000060718","COL11A1","1301","up_in_tumor"
"ENSG00000173898","SPTBN2","6712","up_in_tumor"
"ENSG00000158296","SLC13A3","64849","up_in_tumor"
"ENSG00000205609","EIF3CL","728689","up_in_tumor"
"ENSG00000254166","PCAT2","103164619","up_in_tumor"
"ENSG00000175832","ETV4","2118","up_in_tumor"
"ENSG00000184489","PTP4A3","11156","up_in_tumor"
"ENSG00000164398","ACSL6","23305","up_in_tumor"
"ENSG00000197408","CYP2B6","1555","up_in_tumor"
"ENSG00000104524","PYCR3","65263","up_in_tumor"
"ENSG00000196611","MMP1","4312","up_in_tumor"
"ENSG00000162383","SLC1A7","6512","up_in_tumor"
"ENSG00000172023","REG1B","5968","up_in_tumor"
"ENSG00000099953","MMP11","4320","up_in_tumor"
"ENSG00000104044","OCA2","4948","up_in_tumor"
"ENSG00000127585","FBXL16","146330","up_in_tumor"
"ENSG00000273604","EPOP","100170841","up_in_tumor"
"ENSG00000236081","ELFN1-AS1","101927125","up_in_tumor"
"ENSG00000137673","MMP7","4316","up_in_tumor"
"ENSG00000169174","PCSK9","255738","up_in_tumor"
"ENSG00000165816","VWA2","340706","up_in_tumor"
"ENSG00000172167","MTBP","27085","up_in_tumor"
"ENSG00000139515","PDX1","3651","up_in_tumor"
"ENSG00000135069","PSAT1","29968","up_in_tumor"
"ENSG00000251503","CENPS-CORT","100526739","up_in_tumor"
"ENSG00000062282","DGAT2","84649","up_in_tumor"
"ENSG00000149968","MMP3","4314","up_in_tumor"
"ENSG00000164379","FOXQ1","94234","up_in_tumor"
"ENSG00000234235","","105373974","up_in_tumor"
"ENSG00000012048","BRCA1","672","up_in_tumor"
"ENSG00000188599","NPIPP1","100874381","up_in_tumor"
"ENSG00000184368","MAP7D2","256714","up_in_tumor"
"ENSG00000204839","MROH6","642475","up_in_tumor"
"ENSG00000198169","ZNF251","90987","up_in_tumor"
"ENSG00000157193","LRP8","7804","up_in_tumor"
"ENSG00000188176","SMTNL2","342527","up_in_tumor"
"ENSG00000127564","PKMYT1","9088","up_in_tumor"
"ENSG00000197275","RAD54B","25788","up_in_tumor"
"ENSG00000254726","MEX3A","92312","up_in_tumor"
"ENSG00000183734","ASCL2","430","up_in_tumor"
