"","AMC_2_tumor","AMC_3_tumor","AMC_5_tumor","AMC_2_normal","AMC_3_normal","AMC_5_normal"
"ENSG00000000003.17",194.255227,47.853001,54.729132,94.120375,48.254688,59.437159
"ENSG00000000005.6",4.03601,0.036846,0.99438,0.721952,0.524002,0.973861
"ENSG00000000419.15",154.952331,42.924385,36.665047,44.962014,35.04033,35.923193
"ENSG00000000457.15",7.116297,10.784387,6.737675,9.480021,7.636002,6.844577
"ENSG00000000460.18",11.5443,10.291035,1.920078,3.306374,2.415905,1.574133
"ENSG00000000938.14",1.810983,2.875284,5.469436,2.807614,1.91838,4.731907
"ENSG00000000971.18",9.158513,8.364368,37.208926,41.824931,21.456179,37.439385
"ENSG00000001036.15",81.991641,63.280036,48.262805,57.965474,54.480291,52.394857
"ENSG00000001084.14",33.685121,71.586314,17.753461,25.962793,16.608829,18.531699
"ENSG00000001167.16",23.58888,33.921595,10.335845,13.484248,10.775242,11.52327
"ENSG00000001460.19",3.730372,3.987152,5.638896,7.335449,8.390375,5.605918
"ENSG00000001461.20",12.724658,15.396481,9.512238,16.579358,14.535614,9.112655
"ENSG00000001497.19",51.153901,29.924993,15.048402,16.499723,13.148398,15.443833
"ENSG00000001561.8",5.561597,7.325396,6.840883,10.609199,6.943575,7.68926
"ENSG00000001617.13",3.8118,21.408175,5.799518,7.853208,9.539486,7.016289
"ENSG00000001626.19",39.738197,22.612843,35.639201,60.382106,48.522731,36.533846
"ENSG00000001629.11",17.379787,16.987481,9.885147,13.779762,11.23889,9.434711
"ENSG00000001630.19",55.405026,28.383319,23.979399,42.378247,21.135498,23.613895
"ENSG00000001631.18",20.624157,15.673233,8.927591,11.528296,10.255487,8.660211
"ENSG00000002016.19",9.041021,15.785941,14.9929,13.143539,11.547792,12.814629
"ENSG00000002330.15",43.282918,39.629598,48.47565,53.290067,54.955073,45.821485
"ENSG00000002549.14",64.312051,51.154087,74.523358,53.639188,51.33317,77.791921
"ENSG00000002586.21",643.083371,121.435707,169.683599,331.732372,247.622795,213.804397
"ENSG00000002587.11",3.117998,2.870403,3.448904,3.601843,3.298429,3.929009
"ENSG00000002726.22",68.469259,58.324904,160.354775,132.561455,149.229205,163.754912
"ENSG00000002745.13",0,0.012425,0,0.14358,0,0.058376
"ENSG00000002746.16",0.262076,0.355502,0.602972,0.459744,0.579861,0.229931
"ENSG00000002822.17",25.848654,21.241403,7.246594,7.741663,7.470776,9.289602
"ENSG00000002834.20",152.677689,183.740531,101.995636,118.105897,114.614057,101.875105
"ENSG00000002919.16",9.663696,12.530143,12.892101,17.804851,15.362456,12.320617
"ENSG00000002933.10",147.843523,138.174981,180.390455,137.835857,98.629332,196.215422
