"","AMC_2_tumor","AMC_3_tumor","AMC_5_tumor","AMC_2_normal","AMC_3_normal","AMC_5_normal"
"ENSG00000000003.17",8081.036,1628.249,1831.831,3565.448,828.001,2732.505
"ENSG00000000005.6",77,1,16,16,3,23
"ENSG00000000419.15",3969.604,1015.893,742.751,1088.724,381.384,1103.298
"ENSG00000000457.15",663.26,845.636,524.296,837.253,320.682,754.732
"ENSG00000000460.18",638.174,510.109,125.898,204.749,51.437,130.027
"ENSG00000000938.14",100.075,126.001,219,144.171,50,281.796
"ENSG00000000971.18",871.098,728.273,2137.565,3445.578,781.196,3289.481
"ENSG00000001036.15",3540.657,2492.683,1746.947,2629.009,1082.164,2732.737
"ENSG00000001084.14",2264.572,3749,849.128,1544.24,577.098,1401.594
"ENSG00000001167.16",2058.574,2466.883,727.417,1210.002,445.051,1099.731
"ENSG00000001460.19",276.139,258.495,337.939,484.276,256.534,495.964
"ENSG00000001461.20",1708.771,1621.25,1003.003,2003.454,807.406,1523.238
"ENSG00000001497.19",2775.003,1556.998,755.963,864.013,366.999,1164.004
"ENSG00000001561.8",742,890,721,1333.01,400.001,1192.101
"ENSG00000001617.13",285,1348.016,363.001,555.049,234.006,593.999
"ENSG00000001626.19",4101.345,2780.146,4083.284,8635.106,3090.094,6108.949
"ENSG00000001629.11",2602.41,2224.492,1157.899,1944.498,686.92,1704.998
"ENSG00000001630.19",4611.835,2087.364,1563.231,3251.538,737.534,2292.587
"ENSG00000001631.18",1805.112,1213.226,642.246,990.381,379.569,943.387
"ENSG00000002016.19",333.481,414.939,384.407,506.132,214.506,568.664
"ENSG00000002330.15",853.991,740.115,741.709,933.705,460.43,1028.94
"ENSG00000002549.14",3196.497,2240.117,2893.586,2481.032,1089.949,4565.011
"ENSG00000002586.21",9681.766,1768.137,2359.999,4681.478,1578.994,4020.727
"ENSG00000002587.11",171,141,159,197.717,80.231,251.251
"ENSG00000002726.22",4753.281,3648.813,8926.241,8706.526,4498.969,13289.537
"ENSG00000002745.13",0,1,0,5,0,6
"ENSG00000002746.16",36.002,30.001,6,18,2,10
"ENSG00000002822.17",1462.472,1103.907,368.935,489.866,221.98,580.42
"ENSG00000002834.20",16919.899,18338.505,8918.226,12334.473,5472.531,13056.613
"ENSG00000002919.16",440.366,531.53,481.162,744.052,351.002,713.031
"ENSG00000002933.10",3896.758,3448.73,3858.461,3495.991,1113.282,6160.981
"ENSG00000003056.9",3665.74,4705.527,2796.613,3747.517,1128.03,4390.195
"ENSG00000003096.16",24,387.999,129,278,73,200.104
"ENSG00000003137.9",15,48,95.001,79,29,134.999
"ENSG00000003147.20",2545.017,3351.001,585.999,1034.614,331.914,809.998
"ENSG00000003249.16",480.031,532.465,48.001,52.045,27,58
"ENSG00000003393.17",603.337,1131.391,422.953,638.257,240.625,639.528
"ENSG00000003400.17",936.769,843.622,3212.005,1692.746,560,4845.461
"ENSG00000003402.22",3061.698,2970.642,3612.371,4871.862,1694.2,5558.982
"ENSG00000003436.17",444.364,1064.631,550.076,730.84,236.996,836.346
"ENSG00000003509.17",368.476,337.852,192.265,277.543,128.444,318.944
"ENSG00000003756.18",3789.521,3607.36,2494.041,3772.698,1499.838,3980.56
"ENSG00000003987.15",92.817,16.628,29.862,69.062,25.233,65.397
"ENSG00000003989.19",168.999,294.996,187.999,410.001,139,318
"ENSG00000004059.12",4468.683,2474.421,1803.008,2054.85,1075.945,2694.723
"ENSG00000004139.15",646.311,751.508,349.073,473.459,174.742,586.336
"ENSG00000004142.13",5637.453,5896.991,1913.986,2407.823,1136.549,3121.782
"ENSG00000004399.14",1416.548,1522.997,1390.974,1291.526,489.163,2078.001
"ENSG00000004455.19",4923.828,4742.434,3906.84,4716.839,2053.302,5752.97
"ENSG00000004468.14",120,98,232.988,333.965,62.313,343.997
"ENSG00000004478.9",5769.063,7447.908,3376.398,3986.619,1730.769,5589.13
"ENSG00000004487.19",4715.335,3552.259,1603.959,2297.495,897.826,2306.581
"ENSG00000004534.16",3776.138,3097.897,2474.263,3027.838,1215.965,3617.593
"ENSG00000004660.16",1106.001,288.919,278.181,242.042,94,445.805
"ENSG00000004700.17",1202.501,1224.978,607.873,880.551,303.749,950.369
"ENSG00000004766.18",1143.007,773.333,488.001,882.819,284.997,699.001
"ENSG00000004776.14",418.377,267,325,199.291,119,434
"ENSG00000004777.19",193.823,118.984,105,169.797,64.001,168.987
"ENSG00000004779.11",2495.777,1273.702,1239.001,1390.556,678,1817
"ENSG00000004799.9",365.277,808.001,1346.001,2242.729,890,1977.437
"ENSG00000004809.15",0,2,0,6,0,2
"ENSG00000004838.15",13,6,5,5,3,10
"ENSG00000004846.17",9.99,4,59.606,22.476,14.002,74.23
"ENSG00000004848.8",3,21,12,34,15,16
"ENSG00000004864.15",2752.668,1222.125,820.149,1149.296,451,1155
"ENSG00000004866.23",1025.93,472.055,307.817,370.18,101.891,365.954
"ENSG00000004897.13",1359.218,1101.001,891.002,1385.983,432,1344.997
"ENSG00000004939.16",7.929,3.001,10.932,10.59,4.467,8.132
"ENSG00000004948.17",9,1,10,7,1,4
"ENSG00000004961.16",1254.604,521.999,775,978.114,425,1163.009
"ENSG00000004975.13",1117.219,1188.97,571,809,342.001,1024.188
"ENSG00000005001.11",34,738.248,26.02,31.001,22.999,62.943
"ENSG00000005007.15",7783.234,4669.346,2949.002,3490.256,1569.28,4548.151
"ENSG00000005020.14",1708.639,2057.143,1432.634,2262.461,794.56,2046.568
"ENSG00000005022.7",22115.601,16027.119,11536.469,15324.346,7567.923,18760.657
"ENSG00000005059.17",423,302.999,183.001,282.001,94.102,358.056
"ENSG00000005073.6",109.823,585.952,199.07,196.532,84.251,296.94
"ENSG00000005075.17",1626.406,834.687,810.346,841.451,549.243,1131.212
"ENSG00000005100.13",1426.998,897.823,536.999,625.001,243.001,793.067
"ENSG00000005102.15",69,55,80,111.999,24,189
"ENSG00000005108.17",54,79,64,120,34,154
"ENSG00000005156.13",1186.772,2031.121,703.423,885.231,333.785,919.498
"ENSG00000005175.11",1659.892,941.86,426,623.111,204,578.999
"ENSG00000005187.13",2386.57,1110.632,768.06,1463.489,753.284,1100.228
"ENSG00000005189.21",245.745,168.61,49.001,97.437,48,81.998
"ENSG00000005194.16",1966.45,1590,798.002,876.364,447,1182
"ENSG00000005206.18",1974.654,3374.172,1574.634,2435.903,1206.209,2256.925
"ENSG00000005238.21",860.627,1135.236,611.007,875.042,346.799,1014
"ENSG00000005243.11",88.987,99,88,90,41.001,117.001
"ENSG00000005249.15",191.384,131.118,374.001,619.029,262.197,665.295
"ENSG00000005302.19",1135.489,838.2,523.204,754,308.001,749.001
"ENSG00000005339.15",5573.646,4760.406,2214.052,2988.706,1175.501,3234.694
"ENSG00000005379.17",846,329,354.999,508,175.084,528
"ENSG00000005381.9",2,1,0,3,2,6
"ENSG00000005421.10",4,8,12,29.756,1,5
"ENSG00000005436.15",491.377,495.497,340.613,470.433,132.579,415.813
